name;classification;province;longitude;latitude;area_type;ownership;district;sub_district;postal_area;postal_address;street_address
Haytor Clinic;CLINIC;Eastern Cape Province;-32,006477;27,321933;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Whittlesea;P.O Box 664 Whittlesea;Rural Village
Gcilima Clinic;CLINIC;Eastern Cape Province;-32,294688;26,771021;RURAL;Facility Owner - Government - Local;Ugu District Municipality;Hibiscus Coast Local Municipality;Port Shepstone;P.O Box 701;Gcilima Location
Bhomela Clinic;CLINIC;KwaZulu-Natal Province;-30,91044;30,24526;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Hibiscus Coast Local Municipality;Port Shepstone;P.O Box 701;Paddock Road
Mxhelo Clinic;CLINIC;KwaZulu-Natal Province;-30,76862;30,338863;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Fort Beaufort;P.O Box 702;5 Barrack street
Moiletsoane (Buffelsdoorn) Clinic;CLINIC;Eastern Cape Province;-32,79465;26,73477;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Madibeng Local Municipality;Brits;P.O Box 711 Moiletsane;11004 Rorisang
Lebohang CHC;CHC;North West Province;-25,380643;27,931296;RURAL;Facility Owner - Government - Local;Gert Sibande District Municipality;Govan Mbeki Local Municipality;Leslie;P.O Box 712;Main Street, Lebohang
Lennertsville Clinic;SATELLITE CLINIC;Mpumalanga Province;-26,375518;28,921785;RURAL;Facility Owner - Government - Prov;Siyanda District Municipality;Kai !Garib Local Municipality;Keimoes;P.O Box 8;Kerkstraat 162
Seobi-Dikgale Clinic;CLINIC;Northern Cape Province;-28,7522;20,99551;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Polokwane Local Municipality;MONKWENG;P.O BOX 8 SOVENGA;
Mangweni CHC;CHC;Limpopo Province;-23,800694;29,750639;RURAL;Facility Owner - Tribal;Ehlanzeni District Municipality;Nkomazi Local Municipality;Kwalugedlane;P.O Box 817 Kwalugedlane;Mangweni main road
Boiketlo Clinic;CLINIC;Mpumalanga Province;-25,741172;31,817989;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Maluti a Phofung Local Municipality;ALITSIESHOEK;P.O BOX 824 ALITSIESHOEK;MOTESAL
Ramotshinyadi Clinic;CLINIC;Free State Province;-28,549663;28,825995;RURAL;Facility Owner - Government - Prov;Mopani District Municipality;Greater Tzaneen Local Municipality;tzaneen;p.o box 848;
Luka Clinic;CLINIC;Limpopo Province;-23,638244;30,591999;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Rustenburg Local Municipality;Luka;P.O Box 882055;
Stott Road Clinic;CLINIC;North West Province;-25,506687;27,188898;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;144 Zwarkop road
Oribi Clinic;CLINIC;KwaZulu-Natal Province;-29,60682;30,33705;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;26 Oribi village
Central City Clinic;CLINIC;KwaZulu-Natal Province;-29,63804;30,3963;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Central City;P.O Box 89;305 Jabu Ndlovu street
Church Street TB Clinic;CLINIC;KwaZulu-Natal Province;-29,60181;30,38321;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;333church street
Eastwood Clinic;CLINIC;KwaZulu-Natal Province;-29,599394;30,381542;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;55Kingfisher Rd Eastwood
Woodlands Clinic;CLINIC;KwaZulu-Natal Province;-29,5862;30,42559;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;5Spruce rd
Ashdown Clinic;CLINIC;KwaZulu-Natal Province;-29,579886;30,392658;RURAL;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;83 Msimang Road
Copesville Clinic;CLINIC;KwaZulu-Natal Province;-29,639707;30,331235;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;Agent Terrace
Azalea Clinic;CLINIC;KwaZulu-Natal Province;-29,554028;30,423481;RURAL;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;Azalea sport complex
Northdale Clinic;CLINIC;KwaZulu-Natal Province;-29,625204;30,318961;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Northdale;P.O Box 89;cnr of Bangalor & Barrvabas Rd
Glenwood Clinic(Pietermaritzburg);CLINIC;KwaZulu-Natal Province;-29,566573;30,402485;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;Gordon street,Glenwood
Sinathing Clinic;CLINIC;KwaZulu-Natal Province;-29,589986;30,441565;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;Newton Road
Sobantu Clinic;CLINIC;KwaZulu-Natal Province;-29,675089;30,294848;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;Thuthuko street,Sobantu
Esigodini Clinic;CLINIC;KwaZulu-Natal Province;-29,595262;30,424884;RURAL;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box 89;Waterfale road
Southport Clinic;CLINIC;KwaZulu-Natal Province;-29,646573;30,272098;URBAN;Facility Owner - Government - Local;Ugu District Municipality;Hibiscus Coast Local Municipality;Anerley;P.O Box 897;Lot 12,Porter road
Emthonjeni Clinic (Machadodorp);CLINIC;KwaZulu-Natal Province;-30,67819;30,50544;RURAL;Facility Owner - Government - Local;Nkangala District Municipality;Emakhazeni Local Municipality;Machadodorp;P.O Box 9, Machadodorp;Hector Peterson Street, Machadodorp
Regorogile 2 Clinic;CLINIC;Mpumalanga Province;-25,697748;30,249473;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Thabazimbi Local Municipality;Thabazimbi;P.O Box 90, Thabazimbi;Station Rd 1, Regorogile 2
Nqabara Clinic;CLINIC;Limpopo Province;-24,59878;27,39531;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mbhashe Health sub-District;Willasvale;P.O Box 93;
Sekororo Clinic;CLINIC;Eastern Cape Province;-32,247098;28,720745;RURAL;Facility Owner - Government - Prov;Mopani District Municipality;Maruleng Local Municipality;TRICHARDTSDAL;P.O BOX 97;
Mhlanga Clinic;CLINIC;Limpopo Province;-24,214615;30,406259;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;;P.O Box 99 Indwe 5445;Mlhaya Cliwe
Hackney Clinic;CLINIC;Eastern Cape Province;-31,464525;27,15988;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Whittlesea;P.O Box Hackney;Hackney Clinic Hackney Village
Ezimpondweni Clinic;CLINIC;Eastern Cape Province;-32,318133;26,644903;RURAL;Facility Owner - Tribal;Umkhanyakude District Municipality;The Big 5 False Bay Local Municipality;Ezimpondweni;P.O Box Sibuya 3967;
Greylingstad Clinic;CLINIC;KwaZulu-Natal Province;-27,79844;32,45963;RURAL;Facility Owner - Other;Gert Sibande District Municipality;Dipaleseng Local Municipality;Greylingstad;P.O Box X 3;600 Main Street
Helderkruin Clinic;CLINIC;Mpumalanga Province;-26,745998;28,748839;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg C Health sub-District;Roodepoort,Helderkruin;P.O Box X01,Civic Centre;Pheasant street
Glenthorpe Clinic;CLINIC;Gauteng Province;-26,13764;27,869461;RURAL;Facility Owner - Government - Prov;Ehlanzeni District Municipality;Umjindi Local Municipality;Glenthorpe;P.O Box x298 Barberton 1300;Glenthorpe Village
Riversdale Hospital;DISTRICT HOSPITAL;Mpumalanga Province;-25,73028;30,842534;RURAL;Facility Owner - Government - Prov;Eden District Municipality;Hessequa Local Municipality;Riversdale;P.O Box x421;Hospital Street
Stoffel Coetzee Hospital;DISTRICT HOSPITAL;Western Cape Province;-34,09318;21,254677;RURAL;Facility Owner - Government - Prov;Xhariep District Municipality;Mohokare Local Municipality;SMITHFIELD;P.O BOX X5;VOS STEERT
Marseilles Clinic;CLINIC;Free State Province;-30,223197;26,523206;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Makhado Local Municipality;THOHOYANDOU;P.O BOX X5009;MAJOSI ALONG ELIM TAR ROAD
Virginia Clinic;CLINIC;Limpopo Province;-23,221564;30,335789;URBAN;Facility Owner - Government - Local;Lejweleputswa District Municipality;Matjhabeng Local Municipality;;p.o box. 15 welkom;6 union street virginia
East/Boom CHC;CHC;Free State Province;-28,10762;26,86413;URBAN;Facility Owner - Government - Prov;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Willowton;P.O Box4018;Boom street
Ntabeni Clinic;CLINIC;KwaZulu-Natal Province;-29,588866;30,386767;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Hibiscus Coast Local Municipality;Munster;P.O Box406;Ezingolweni Road,ward 10
Baniyena Clinic;CLINIC;KwaZulu-Natal Province;-30,97163;30,23546;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;Mkhambathini Local Municipality;Plessislear;P.O Box509;
Ndaleni Clinic;CLINIC;KwaZulu-Natal Province;-30,118487;30,587649;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;Richmond Local Municipality;Richmond;P.O Box754;Ndaleni location
Grange Clinic;CLINIC;KwaZulu-Natal Province;-29,887002;30,247059;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box89;45 White road Grange
Masons Clinic;CLINIC;KwaZulu-Natal Province;-29,641367;30,372257;RURAL;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box89;96 Lazarus Road
Scottsville Clinic;CLINIC;KwaZulu-Natal Province;-29,555652;30,434774;URBAN;;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Pietermaritzburg;P.O Box89;Oribi Road
Khan Road Clinic;CLINIC;KwaZulu-Natal Province;-29,624998;30,394272;URBAN;Facility Owner - Government - Local;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Northdale;P.O Box89;Truro Plaza Khan Road
Bonabona Clinic;CLINIC;KwaZulu-Natal Province;-29,549249;30,405242;RURAL;Facility Owner - Government - Local;Dr Ruth Segomotsi Mompati District;Kagisano-Molopo Local Municipality;Bona Bona Village;P.O Box98 , Morokweng;Near Bona Bona Primary School
Slypsteen Clinic;CLINIC;North West Province;-26,23521;23,538796;RURAL;Facility Owner - Government - Local;Capricorn District Municipality;Lepelle-Nkumpi Local Municipality;MAPHAPJAKING;P.O COMPIES;
Dzwerani Clinic;CLINIC;Limpopo Province;-24,4459;29,4057;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Thulamela Local Municipality;DZWERANI;P.O DZWERANI;DZWARANI VILLAGE
Moletjie Clinic;CLINIC;Limpopo Province;-23,05638;30,423079;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Polokwane Local Municipality;MOLETJI MOSHATE;P.O KOLOTI;MOLETJI MOSHATE
A Mamabolo Clinic;CLINIC;Limpopo Province;-23,737833;29,302528;RURAL;Facility Owner - Tribal;Capricorn District Municipality;Polokwane Local Municipality;LESHOANE;P.O LESHLOANE;MONGWANENG
Mmankaipaya Clinic;CLINIC;Limpopo Province;-23,879333;29,820583;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;;P.O Mankaipaya;
Koedoesrand Clinic;CLINIC;North West Province;-24,981541;26,562774;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Madikwe;P.O Modimosana;Kgosing Section, Matau Village
Koffiekraal Clinic;CLINIC;North West Province;-25,24776;26,668933;RURAL;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Madikwe;P.O Mokgatlha;
Mount Arthur Clinic;CLINIC;North West Province;-25,284089;26,417168;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Emalahleni;P.O MT Arthur;Mount Arthur Lady Frere
Diphalane (Pankop) CHC;CHC;Eastern Cape Province;-31,697279;27,031042;RURAL;Facility Owner - Government - Prov;Nkangala District Municipality;Dr JS Moroka Local Municipality;Pankop;P.O Pankop;515 Mocha
Pitsedisulejang Clinic;CLINIC;Mpumalanga Province;-25,168426;28,416494;RURAL;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Madikwe;P.O Silkaatskop;Pitsedisulejang Silkaatskop
Tweelaagte Clinic;CLINIC;North West Province;-25,027785;26,478387;RURAL;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Rustenburg;P.O Tumanskop;20089 Cgopitsang
Evelyn Lekganyane Clinic;CLINIC;North West Province;-25,27243;26,85287;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Polokwane Local Municipality;BOYNE;P.O. Box 1, Boyne,;
Bray CHC;CHC;Limpopo Province;-23,94575;29,798528;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Kagisano-Molopo Local Municipality;Bray;P.O. Box 1, Bray;Paddon Road
Dr Machupe Mphahlele CHC;CHC;North West Province;-26,51763;24,109;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Lepelle-Nkumpi Local Municipality;Groothoek,;P.O. Box 1, Groothoek,;
Zamdela CHC;CHC;Limpopo Province;-24,310972;29,337278;URBAN;;Fezile Dabi District Municipality;Metsimaholo Local Municipality;Sasolburg,;P.O. Box 1, Sasolburg;
Hillcrest Hospital;SPECIALISED CHRONIC HOSPITAL;Free State Province;-26,842064;27,846088;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Hillcrest;P.O. Box 1001;50 Hospital Rd
Dr CL Bikitsha Clinic;CLINIC;KwaZulu-Natal Province;-29,78757;30,761274;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mnquma Health sub-District;Butterworth,;P.O. Box 101, Butterworth,;
Fauresmith Clinic;CLINIC;Eastern Cape Province;-32,278377;28,105042;RURAL;Facility Owner - Government - Local;Xhariep District Municipality;Kopanong Local Municipality;FAURESMITH;P.O. Box 102, Fauresmith;1 OLIVIER STREET
Thembalihle Clinic;CLINIC;Free State Province;-29,744624;25,309308;RURAL;Facility Owner - Government - Prov;Amajuba District Municipality;Dannhauser Local Municipality;Dundee;P.O. Box 1055;
Matiwaneskop Clinic;CLINIC;KwaZulu-Natal Province;-27,92863;30,2477;RURAL;Facility Owner - Government - Local;Uthukela District Municipality;Emnambithi Local Municipality;Ladysmith;P.O. Box 1056;Matiwaneskop
Gcinalishone Clinic;CLINIC;KwaZulu-Natal Province;-28,350763;29,897825;RURAL;Facility Owner - Government - Prov;Uthukela District Municipality;Indaka Local Municipality;Ladysmith;P.O. Box 1056;Mhlumayo Area
KwaMteyi Clinic;CLINIC;KwaZulu-Natal Province;-28,687957;30,134192;RURAL;Facility Owner - Government - Prov;Uthukela District Municipality;Indaka Local Municipality;Ladysmith,;P.O. Box 1056, Ladysmih;
Limit Hill Clinic;CLINIC;KwaZulu-Natal Province;-28,629776;30,070913;URBAN;Facility Owner - Government - Local;Uthukela District Municipality;Emnambithi Local Municipality;Limit Hill,;P.O. Box 1056, Ladysmith,;6th Street,
Ezakheni E Clinic;CLINIC;KwaZulu-Natal Province;-28,53881;29,80534;URBAN;Facility Owner - Government - Prov;Uthukela District Municipality;Emnambithi Local Municipality;Ezakheni,;P.O. Box 1056, Ladysmith,;Chief Albert Luthuli Street,
Dengeni Clinic;CLINIC;KwaZulu-Natal Province;-28,63037;29,88067;RURAL;Facility Owner - Tribal;Zululand District Municipality;Nongoma Local Municipality;Dengeni;P.O. Box 1067;Dengeni Area
Buitestraat Clinic;CLINIC;KwaZulu-Natal Province;-28,00168;31,78213;URBAN;Facility Owner - Government - Local;Capricorn District Municipality;Polokwane Local Municipality;POLOKWANE;P.O. BOX 111;BUITE STREET
Bedford Hospital;DISTRICT HOSPITAL;Limpopo Province;-23,90203;29,44171;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Bedford;P.O. Box 111, Bedford,;Maitland Street,
Mankweng Gateway Clinic;CLINIC;Eastern Cape Province;-32,67534;26,09012;RURAL;Facility Owner - Government - Local;Capricorn District Municipality;Polokwane Local Municipality;Mankweng;P.O. Box 1117, Sovenga,;
Hondeklipbaai Clinic;SATELLITE CLINIC;Limpopo Province;-23,880744;29,726032;RURAL;Facility Owner - Government - Prov;Namakwa District Municipality;Kamiesberg Local Municipality;Hondeklipbaai,;P.O. Box 113, Hondeklipbaai,;Sunnyside Street,
Mpumelelo Clinic;CLINIC;Northern Cape Province;-30,31899;17,27886;RURAL;Facility Owner - Government - Prov;iLembe District Municipality;KwaDukuza Local Municipality;Stanger;P.O. Box 11553;Doesbag Road
Adelaide Hospital;DISTRICT HOSPITAL;KwaZulu-Natal Province;-29,194312;31,291157;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Adelaide,;P.O. Box 128, Adelaide,;Piet Retief Drive,
Adelaide Gateway Clinic;CLINIC;Eastern Cape Province;-32,70092;26,29427;URBAN;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Adelaide,;P.O. Box 128, Adelaide,;Pos Retief Drive,
Shayandima Clinic;CLINIC;Eastern Cape Province;-32,69994;26,29404;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Thulamela Local Municipality;MAYANDINE;P.O. BOX 130 MAYANDINE;ZENE 4
AE Haviland Memorial Clinic;CLINIC;Limpopo Province;-23,00531;30,426652;URBAN;Facility Owner - Government - Prov;Uthukela District Municipality;Umtshezi Local Municipality;Weenen;P.O. Box 131;160 Bell Street
Heuningvlei Clinic;CLINIC;KwaZulu-Natal Province;-28,854031;30,093066;RURAL;Facility Owner - Government - Prov;John Taolo Gaetsewe District Municipality;Joe Morolong Local Municipality;Kuruman;P.O. Box 1336, Kuruman;
Cata Clinic;CLINIC;Northern Cape Province;-26,30514;23,13953;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Amahlathi Health sub-District;Keiskammahoek;P.O. Box 136 Keiskammahoek;Upper Cxulu Location
Pella Clinic;CLINIC;Eastern Cape Province;-32,595165;27,124842;RURAL;Facility Owner - Government - Prov;Namakwa District Municipality;Khâi-Ma Local Municipality;Pella;P.O. Box 138, Pella;227 Jacaranda Street,
Elandskuil Clinic;CLINIC;Northern Cape Province;-29,03291;19,15453;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Durfernburg;P.O. Box 140 Tlhabane 0309;Stand no Elandskuil
KwaMame Clinic;CLINIC;North West Province;-25,073528;26,819582;RURAL;;Zululand District Municipality;Ulundi Local Municipality;Mahlabathini;P.O. Box 1422 Mahlabathini;Mahlabathini
Mandeni Clinic;CLINIC;KwaZulu-Natal Province;-28,14098;31,49025;URBAN;Facility Owner - Government - Local;iLembe District Municipality;Mandeni Local Municipality;Mandeni;P.O. Box 144;2 kingfisher road
Welkom Clinic;CLINIC;KwaZulu-Natal Province;-29,153318;31,410068;URBAN;Facility Owner - Government - Local;Lejweleputswa District Municipality;Matjhabeng Local Municipality;doorn;p.o. Box 15;4 arrat road
Winburg Clinic;CHC;Free State Province;-27,98545;26,7414;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Masilonyana Local Municipality;Welkom;P.O. Box 15;Boibotong Location, Makeleketi, Winburg
Hani Park Clinic;CLINIC;Free State Province;-28,52991;26,99409;RURAL;Facility Owner - Government - Local;Lejweleputswa District Municipality;Matjhabeng Local Municipality;welkom;p.o. Box 15 welkom;no street name
Umbumbulu Clinic;CLINIC;Free State Province;-27,98719;26,82359;RURAL;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;mpandwini;P.O. Box 151 mbumbulu;of main road 603
Anna Legoale Clinic;CLINIC;KwaZulu-Natal Province;-29,981191;30,699194;URBAN;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Rustenburg Local Municipality;Rustenburg,;P.O. Box 16, Rusternburg,;Nelson Mandela Drive,
Mvoti Clinic;CLINIC;North West Province;-25,57;27,27;RURAL;Facility Owner - Government - Local;Sisonke District Municipality;Umzimkhulu Local Municipality;Umzimkhulu;P.O. Box 162;Nazareth A/A
Rockcliff Clinic;CLINIC;KwaZulu-Natal Province;-30,11531;29,52058;RURAL;Facility Owner - Government - Prov;Uthukela District Municipality;Indaka Local Municipality;Wasbank;P.O. Box 16687;
Charles James TB Hospital;SPECIALISED TB HOSPITAL;KwaZulu-Natal Province;-28,50071;30,20779;RURAL;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Amanzimtoti;P.O. Box 171;No. 6 Sompukane Road
Pholotji Clinic;CLINIC;KwaZulu-Natal Province;-30,017405;30,885401;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Mogalakwena Local Municipality;MOKOPANE;P.O. Box 1822, Mokopane;
Naas Farm Clinic;CLINIC;Limpopo Province;-24,0301;28,89345;RURAL;Facility Owner - Government - Prov;Amajuba District Municipality;Dannhauser Local Municipality;Dannhauser;P.O. Box 18377;Mahalaba Stand
Mafefe Clinic;CLINIC;KwaZulu-Natal Province;-27,827587;30,225972;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Lepelle-Nkumpi Local Municipality;mafefe;P.O. Box 186, Mafefe,;
Thengane Clinic;CLINIC;Limpopo Province;-24,195278;30,099528;RURAL;Facility Owner - Government - Prov;Umkhanyakude District Municipality;Umhlabuyalingana Local Municipality;Kwa Ngwanase,;P.O. Box 189 Kwa- Ngwanase;
FOSA TB Hospital;SPECIALISED TB HOSPITAL;KwaZulu-Natal Province;-27,01977;32,69127;URBAN;Facility Owner - Other;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Domerton;P.O. Box 19522;60 FOSA Rd
Phaphamani Clinic;CLINIC;KwaZulu-Natal Province;-29,785926;30,968179;URBAN;Facility Owner - Government - Prov;Uthungulu District Municipality;uMhlathuze Local Municipality;esikhawini;P.O. Box 20021;Mdlentshana
Ethembeni Clinic;CLINIC;KwaZulu-Natal Province;-28,889787;31,893576;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Amahlathi Health sub-District;King Williams Town,;P.O. Box 2148, King Williams Town,;
Phafola Clinic;CLINIC;Eastern Cape Province;-32,7628;27,43183;RURAL;Facility Owner - Tribal;Waterberg District Municipality;Mogalakwena Local Municipality;Phafola Village;P.O. Box 224 Mapela 0610;
Armoed Clinic;CLINIC;Limpopo Province;-23,91619;28,87575;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Mogalakwena Local Municipality;ARMOEDE;P.O. Box 224, Mapela;
Ehlanzeni Clinic;CLINIC;Limpopo Province;-23,95502;28,98525;RURAL;Facility Owner - Government - Prov;Umzinyathi District Municipality;Umvoti Local Municipality;Greytown;P.O. Box 231, Greytown,;
Tshwane Rehabilitation Hospital;SPECIALISED REHABILITATION HOSPITAL;KwaZulu-Natal Province;-28,8611;30,69705;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 3 Health sub-District;Prinshof;P.O. Box 23397,Gezina;Corner Dr Savage and Soutspanberg roads
Swart Mfolozi Clinic;CLINIC;Gauteng Province;-25,73651;28,19899;RURAL;Facility Owner - Tribal;Zululand District Municipality;Abaqulusi Local Municipality;Vryheid;P.O. Box 235;186 Cnr boerea and Van Riebeeck Street
Vryheid Gateway Clinic;CLINIC;KwaZulu-Natal Province;-27,93459;31,210172;URBAN;Facility Owner - Government - Local;Zululand District Municipality;Abaqulusi Local Municipality;Vryheid;P.O. Box 235;Coswalt Brown Street
Gluckstadt Clinic;CLINIC;KwaZulu-Natal Province;-27,7585;30,79666;RURAL;Facility Owner - Government - Local;Zululand District Municipality;Abaqulusi Local Municipality;Vryheid;P.o. Box 235;Gelukstadt Road
Khambi Clinic;CLINIC;KwaZulu-Natal Province;-27,97413;31,03921;RURAL;Facility Owner - Government - Local;Zululand District Municipality;Abaqulusi Local Municipality;Vryheid;P.O. Box 235;Khambi Tribal court
Mondlo 2 Clinic;CLINIC;KwaZulu-Natal Province;-27,77848;31,31442;RURAL;Facility Owner - Government - Prov;Zululand District Municipality;Abaqulusi Local Municipality;Vryheid;P.O. Box 235;Mondlo 2
Ntababomvu Clinic;CLINIC;KwaZulu-Natal Province;-27,9764;30,70956;RURAL;Facility Owner - Government - Prov;Zululand District Municipality;Abaqulusi Local Municipality;;P.o. Box 235, Vryheid;Hlahlindela
Makhwela Clinic;CLINIC;KwaZulu-Natal Province;-28,0385;30,7151;RURAL;Facility Owner - Government - Prov;Zululand District Municipality;Abaqulusi Local Municipality;Louinsburg;P.O. Box 235, Vryheid;Makhwela
Hlobane Clinic;CLINIC;KwaZulu-Natal Province;-27,68678;31,34952;RURAL;Facility Owner - Government - Prov;Zululand District Municipality;Abaqulusi Local Municipality;Hlobane;P.O. Box 235, Vryheid;Thuthukani Area, Hlobane
Logobate Clinic;CLINIC;KwaZulu-Natal Province;-27,72022;31,00125;RURAL;Facility Owner - Government - Prov;John Taolo Gaetsewe District Municipality;Joe Morolong Local Municipality;Kuruman;P.O. Box 238, Kuruman;
Bedford Clinic;CLINIC;Northern Cape Province;-27,18022;23,40793;URBAN;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Bedford;P.o. BOX 24, Bedford,;Cole Street,
Umkomaas Clinic;CLINIC;Eastern Cape Province;-32,68292;26,0883;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;durban;P.O. Box 2443;41 barrow street
Inanda Seminary Clinic;CLINIC;KwaZulu-Natal Province;-30,205621;30,797583;RURAL;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Inanda Glebe;P.O. Box 2443;Portion of 699
Craigieburn Clinic;CLINIC;KwaZulu-Natal Province;-29,707992;30,921691;RURAL;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;umkhomaas;P.O. Box 2443;
Trenance Park Clinic;CLINIC;KwaZulu-Natal Province;-30,199527;30,753844;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;verulam;P.O. Box 2443 durban;
Cato Manor CHC;CHC;KwaZulu-Natal Province;-29,653803;31,004367;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Durban,;P.O. Box 2443, Mayville;25 Kaledon Road,
Kruisrivier Clinic;CLINIC;KwaZulu-Natal Province;-29,862055;30,970065;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela B Health sub-District;Uitenhage,;P.O. Box 246, Uitenhage,;Kruisrivier Road,
